item-name	listing-id	seller-sku	price	quantity	open-date	product-id-type	item-note	item-condition	will-ship-internationally	expedited-shipping	product-id	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
altego Haut de Gamme Serviette de Bain Grande Taille 100 x 180 cm - 100% Coton Epaisse - Grande Serviette de Bain (Beige)	0426F9COTGP	ST01C118001	23.95		26/04/2025 11:43:22 MEST	4		11			3760423830406		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Haut de Gamme Drap de Bain Grande Taille 100 x 180 cm - 100% Coton Epais - Serviette XXL (Gris)	0426F95M6RW	ST01C118002	23.95		26/04/2025 12:19:16 MEST	4		11			3760423830390		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Haut de Gamme Serviette de Bain XXL 100 x 180 cm - 100% Coton Epaisse - Grande Serviette de Bain (Bleu)	0426F9F02F3	ST01C118003	23.95		26/04/2025 12:21:26 MEST	4		11			3760423830383		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Haut de Gamme Drap de Bain Grande Taille 100 x 180 cm - 100% Coton Epaisse - Serviette de Douche (Vert)	0426F95PZI9	ST01C118004	23.95		26/04/2025 12:23:22 MEST	4		11			3760423830376		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Serviette De Bain Grande Taille 100x200-100% Coton - Qualité Supérieure - Drap De Bain Grande Taille (Gris)	1016FUV1JX5	ST01C120002	32.45		16/10/2025 20:25:05 MEST	1		11			B0FPDHXMH4		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Serviette De Bain Grande Taille 100x200-100% Coton - Qualité Supérieure - Drap De Bain Grande Taille (Bleu)	1016FUPNMR2	ST01C120003	32.45		16/10/2025 20:25:04 MEST	1		11			B0FPDHZJ1N		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Drap De Bain Grande Taille - 100% Coton - Qualité Supérieure – Serviette De Bain 100x200 (Vert)	1016FUSCRY3	ST01C120004	32.45		16/10/2025 20:25:06 MEST	1		11			B0FPDHP1C7		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Serviette De Bain Grande Taille 100x200-100% Coton - Qualité Supérieure - Drap De Bain Grande Taille (Noir)	1016FUV91XZ	ST01C120005	32.45		16/10/2025 20:25:05 MEST	1		11			B0FPDJNCY7		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Qualité supérieure Lot de 2 Serviettes de Bain 70 x 140 cm 100% Coton Extra Douces, Très absorbantes et à séchage Rapide (Beige)	1014FN1PDJB	ST02C714001	23.95		14/10/2025 12:50:32 MEST	1		11			B0FSSH49P7		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Qualité supérieure Lot de 2 Serviettes de Bain 70 x 140 cm 100% Coton Extra Douces, Très absorbantes et à séchage Rapide (Gris)	1014FNA9QSC	ST02C714002	23.95		14/10/2025 12:44:52 MEST	1		11			B0FSS1J4FS		AMAZON_EU	Modèle par défaut Amazon	Active		
altego Qualité supérieure Lot de 2 Serviettes de Bain 70 x 140 cm 100% Coton Extra Douces, Très absorbantes et à séchage Rapide (Bleu)	1014FN5191Q	ST02C714003	23.95		14/10/2025 13:01:03 MEST	1		11			B0FSRSQRT7		AMAZON_EU	Modèle par défaut Amazon	Active		
